IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,52106,10.215.173.2,53,0,Root,DNS,Closed,idmb-app-chat-global-xiaomi08-2123402879.ap-south-1.elb.amazonaws.com,115,312,1,1,1700576337218,1700576337264
17,10.215.173.1,51800,10.215.173.2,53,0,Root,DNS,Closed,data.mistat.india.xiaomi.com,74,376,1,1,1700576337222,1700576337230
17,10.215.173.1,48626,10.215.173.2,53,0,Root,DNS,Closed,tracking.india.miui.com,69,472,1,1,1700576337223,1700576337266
6,10.215.173.1,43975,23.215.215.8,80,10015,MTP Host,HTTP,Closed,data.mistat.india.xiaomi.com,716,561,5,5,1700576337261,1700576337504
6,10.215.173.1,46082,3.108.20.174,5222,10124,Xiaomi service framework,TCP,Closed,idmb-app-chat-global-xiaomi08-2123402879.ap-south-1.elb.amazonaws.com,3299,2077,14,14,1700576337293,1700576483799
6,10.215.173.1,41127,3.6.5.212,443,10054,Analytics,HTTPS,Closed,tracking.india.miui.com,2048,4503,9,9,1700576337310,1700576397679
17,10.215.173.1,65297,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576337630,1700576337637
17,10.215.173.1,59270,10.215.173.2,53,0,Root,DNS,Closed,infinitedata-pa.googleapis.com,76,362,1,1,1700576337782,1700576337831
6,10.215.173.1,54679,64.233.170.188,5228,10020,Google Backup Transport,TLS,Closed,mtalk.google.com,1699,3094,14,14,1700576337824,1700576468619
17,10.215.173.1,53598,10.215.173.2,53,0,Root,DNS,Closed,inbox.google.com,62,94,1,1,1700576337844,1700576337850
6,10.215.173.1,44503,142.250.205.229,443,10080,Gmail,HTTPS,Closed,inbox.google.com,2347,7111,15,16,1700576337940,1700576349926
6,10.215.173.1,55463,142.250.195.234,443,10020,Google Backup Transport,TLS,Closed,infinitedata-pa.googleapis.com,1586,6123,10,14,1700576337951,1700576428076
17,10.215.173.1,61989,10.215.173.2,53,10049,Google,DNS,Closed,notifications-pa.googleapis.com,77,364,1,1,1700576340838,1700576340866
6,10.215.173.1,50677,142.250.182.42,443,10049,Google,HTTPS,Closed,notifications-pa.googleapis.com,10948,9172,20,21,1700576340903,1700576374056
6,10.215.173.1,50678,142.250.182.42,443,10049,Google,HTTPS,Closed,notifications-pa.googleapis.com,891,5148,7,7,1700576340908,1700576342043
6,10.215.173.1,50679,142.250.182.42,443,10049,Google,HTTPS,Closed,notifications-pa.googleapis.com,851,5110,6,6,1700576340935,1700576342022
6,10.215.173.1,50680,142.250.182.42,443,10049,Google,HTTPS,Closed,notifications-pa.googleapis.com,851,5110,6,6,1700576340941,1700576341512
17,10.215.173.1,63627,10.215.173.2,53,0,Root,DNS,Closed,cryptauthenrollment.googleapis.com,80,370,1,1,1700576341635,1700576342022
6,10.215.173.1,32914,142.250.77.106,443,10020,Google Backup Transport,TLS,Closed,cryptauthenrollment.googleapis.com,13723,2709,17,20,1700576342041,1700576343906
