IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,2549,10.215.173.2,53,0,Root,DNS,Closed,api.wp.haokan.mobi,64,138,1,1,1700576359450,1700576359495
17,10.215.173.1,22735,10.215.173.2,53,0,Root,DNS,Closed,api.wp.haokan.mobi,64,114,1,1,1700576359497,1700576359539
17,10.215.173.1,23342,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576359544,1700576359551
6,10.215.173.1,37724,172.67.217.106,80,1000,Android,HTTP,Closed,api.wp.haokan.mobi,563,986,4,4,1700576359548,1700576419875
17,10.215.173.1,20712,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576359553,1700576359556
17,10.215.173.1,12385,10.215.173.2,53,0,Root,DNS,Closed,au.ff.avast.com,61,270,1,1,1700576359653,1700576359829
6,10.215.173.1,38392,64.233.170.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1329,2302,9,10,1700576359672,1700576465448
6,10.215.173.1,47342,172.67.217.106,80,1000,Android,HTTP,Closed,api.wp.haokan.mobi,686,952,5,4,1700576359737,1700576421092
17,10.215.173.1,3787,10.215.173.2,53,0,Root,DNS,Closed,au.ff.avast.com,61,246,1,1,1700576359832,1700576359898
6,10.215.173.1,46980,184.28.173.26,80,1000,Android,HTTP,Closed,au.ff.avast.com,332,799,5,5,1700576359910,1700576360134
6,10.215.173.1,38671,172.67.217.106,80,1000,Android,HTTP,Closed,api.wp.haokan.mobi,1176,3833,5,4,1700576360329,1700576421092
17,10.215.173.1,8960,10.215.173.2,53,0,Root,DNS,Closed,i.ota.coloros.com,63,63,1,1,1700576361326,1700576361394
17,10.215.173.1,31731,10.215.173.2,53,0,Root,DNS,Closed,i.ota.coloros.com,63,112,1,1,1700576361396,1700576361438
6,10.215.173.1,41712,119.147.175.85,80,10090,System Update,HTTP,Closed,i.ota.coloros.com,670,557,5,5,1700576361448,1700576388638
17,10.215.173.1,13692,10.215.173.2,53,0,Root,DNS,Closed,cryptauthenrollment.googleapis.com,80,226,1,1,1700576363781,1700576363889
17,10.215.173.1,21890,10.215.173.2,53,0,Root,DNS,Closed,cryptauthenrollment.googleapis.com,80,370,1,1,1700576363891,1700576363909
6,10.215.173.1,44291,142.250.77.106,443,10011,Google Backup Transport,TLS,Closed,cryptauthenrollment.googleapis.com,11040,6119,16,16,1700576363982,1700576365464
17,10.215.173.1,2092,10.215.173.2,53,0,Root,DNS,Closed,usa.ime.cootek.com,64,64,1,1,1700576395980,1700576396034
17,10.215.173.1,28718,10.215.173.2,53,0,Root,DNS,Closed,usa.ime.cootek.com,64,162,1,1,1700576396036,1700576396044
6,10.215.173.1,49148,103.73.195.12,443,10141,TouchPal for OPPO,HTTPS,Closed,usa.ime.cootek.com,2950,1067,11,10,1700576396120,1700576403552
17,10.215.173.1,16742,10.215.173.2,53,0,Root,DNS,Closed,connectivitycheck.gstatic.com,75,132,1,1,1700576396536,1700576396569
17,10.215.173.1,12105,10.215.173.2,53,0,Root,DNS,Closed,connectivitycheck.gstatic.com,75,120,1,1,1700576396571,1700576396586
6,10.215.173.1,47647,142.250.182.99,443,10037,Google Play Store,HTTPS,Closed,connectivitycheck.gstatic.com,1129,663,7,7,1700576396631,1700576460433
6,10.215.173.1,47911,142.250.182.99,443,10037,Google Play Store,HTTPS,Closed,connectivitycheck.gstatic.com,1129,663,7,7,1700576396693,1700576460433
17,10.215.173.1,58141,10.215.173.2,53,10039,Google,DNS,Closed,www.google.com,60,90,1,1,1700576402595,1700576402623
17,10.215.173.1,44851,142.250.76.36,443,10039,Google,QUIC,Closed,www.google.com,21324,11562,53,48,1700576402937,1700576404068
6,10.215.173.1,38552,142.250.76.36,443,10039,Google,HTTPS,Closed,www.google.com,891,4698,7,6,1700576402942,1700576413102
6,10.215.173.1,38554,142.250.76.36,443,10039,Google,HTTPS,Closed,www.google.com,851,4656,6,5,1700576403259,1700576413352
17,10.215.173.1,10402,10.215.173.2,53,0,Root,DNS,Closed,geller-pa.googleapis.com,70,206,1,1,1700576403795,1700576403799
17,10.215.173.1,25178,10.215.173.2,53,0,Root,DNS,Closed,geller-pa.googleapis.com,70,350,1,1,1700576403801,1700576403805
6,10.215.173.1,47506,142.250.195.42,443,10039,Google,TLS,Closed,geller-pa.googleapis.com,7190,12245,16,18,1700576403841,1700576404949
17,10.215.173.1,15771,10.215.173.2,53,10039,Google,DNS,Closed,notifications-pa.googleapis.com,77,364,1,1,1700576403851,1700576403854
6,10.215.173.1,48573,142.250.182.42,443,10039,Google,HTTPS,Closed,notifications-pa.googleapis.com,4254,7421,15,15,1700576403865,1700576465449
17,10.215.173.1,29646,10.215.173.2,53,0,Root,DNS,Closed,app-measurement.com,65,112,1,1,1700576410089,1700576410198
17,10.215.173.1,28282,10.215.173.2,53,0,Root,DNS,Closed,app-measurement.com,65,100,1,1,1700576410201,1700576410207
6,10.215.173.1,39013,142.250.196.78,443,10011,Google Backup Transport,HTTPS,Closed,app-measurement.com,1729,8645,10,10,1700576410220,1700576470463
17,10.215.173.1,22504,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576471418,1700576471437
17,10.215.173.1,9836,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576471439,1700576471443
6,10.215.173.1,46259,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1308,1184,7,8,1700576471464,1700576531029
17,192.168.137.105,47659,142.250.182.110,443,10037,Google Play Store,UDP,Closed,,29417,2761,31,18,1700576471855,1700576472974
17,10.215.173.1,27234,10.215.173.2,53,0,Root,DNS,Closed,beacons.gvt2.com,62,94,1,1,1700576472710,1700576472713
6,10.215.173.1,41366,172.217.166.99,443,10037,Google Play Store,HTTPS,Closed,beacons.gvt2.com,2583,7303,17,16,1700576472751,1700576536197
17,10.215.173.1,39695,172.217.166.99,443,10037,Google Play Store,QUIC,Closed,beacons.gvt2.com,2930,6357,6,8,1700576473011,1700576473126
17,10.215.173.1,17019,10.215.173.2,53,0,Root,DNS,Closed,usa.ime.cootek.com,64,64,1,1,1700576505834,1700576505866
17,10.215.173.1,8278,10.215.173.2,53,0,Root,DNS,Closed,usa.ime.cootek.com,64,162,1,1,1700576505868,1700576505871
6,10.215.173.1,37837,103.73.195.12,80,10141,TouchPal for OPPO,HTTP,Closed,usa.ime.cootek.com,676,688,7,6,1700576505886,1700576512942
6,10.215.173.1,46696,103.73.195.12,443,10141,TouchPal for OPPO,HTTPS,Closed,usa.ime.cootek.com,2097,774,9,8,1700576507275,1700576514482
17,10.215.173.1,35630,10.215.173.2,53,0,Root,DNS,Closed,beacons.gcp.gvt2.com,66,172,1,1,1700576532794,1700576532811
6,10.215.173.1,49609,172.217.31.195,443,10037,Google Play Store,HTTPS,Closed,beacons.gcp.gvt2.com,2404,7475,17,20,1700576532820,1700576596829
17,10.215.173.1,48031,172.217.31.195,443,10037,Google Play Store,QUIC,Closed,beacons.gcp.gvt2.com,2931,6358,6,8,1700576534288,1700576534441
17,10.215.173.1,60688,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576540964,1700576540980
17,10.215.173.1,45702,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576540982,1700576540986
6,10.215.173.1,46422,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1309,1224,8,9,1700576541107,1700576601844
17,10.215.173.1,42617,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576606964,1700576606986
17,10.215.173.1,40539,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576606987,1700576606994
6,10.215.173.1,39092,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1269,1184,7,8,1700576607016,1700576667220
17,10.215.173.1,36925,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576672257,1700576672263
17,10.215.173.1,56411,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576672279,1700576672282
6,10.215.173.1,42152,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1309,1224,8,9,1700576672293,1700576732431
17,10.215.173.1,57380,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,196,1,1,1700576700988,1700576701008
17,10.215.173.1,53305,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,340,1,1,1700576701010,1700576701014
6,10.215.173.1,46397,142.250.77.106,443,10037,Google Play Store,HTTPS,Closed,play.googleapis.com,2871,7564,12,12,1700576701030,1700576762607
17,10.215.173.1,18011,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576737525,1700576737530
17,10.215.173.1,25900,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576737537,1700576737542
6,10.215.173.1,42779,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1269,1184,7,8,1700576737559,1700576797704
17,10.215.173.1,27673,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576805010,1700576805027
17,10.215.173.1,25723,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576805029,1700576805032
6,10.215.173.1,44430,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1269,1184,7,8,1700576805043,1700576868258
17,10.215.173.1,14805,10.215.173.2,53,0,Root,DNS,Closed,android.googleapis.com,68,346,1,1,1700576828375,1700576828395
17,10.215.173.1,46784,142.250.195.234,443,10011,Google Backup Transport,QUIC,Closed,android.googleapis.com,5274,5458,12,14,1700576828417,1700576828645
17,10.215.173.1,11406,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576873388,1700576873394
17,10.215.173.1,27121,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576873396,1700576873402
6,10.215.173.1,39580,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1269,1184,7,8,1700576873461,1700576933646
17,10.215.173.1,18013,10.215.173.2,53,0,Root,DNS,Closed,play-fe.googleapis.com,68,106,1,1,1700576873749,1700576873752
17,10.215.173.1,40973,142.250.182.110,443,10037,Google Play Store,QUIC,Closed,play-fe.googleapis.com,6198,14319,19,22,1700576873766,1700576873977
17,10.215.173.1,64811,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576938784,1700576938790
17,10.215.173.1,46814,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576938793,1700576938797
6,10.215.173.1,47176,142.251.12.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1269,1144,7,7,1700576938808,1700576998975
17,10.215.173.1,57441,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700577008690,1700577008706
17,10.215.173.1,36910,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700577008708,1700577008712
6,10.215.173.1,47138,142.251.12.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1270,1184,7,8,1700577008723,1700577069372
17,10.215.173.1,2028,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700577078774,1700577078791
17,10.215.173.1,41616,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700577078793,1700577078797
6,10.215.173.1,49970,142.251.12.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1270,1184,7,8,1700577078808,1700577139714
17,10.215.173.1,13936,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700577144781,1700577144786
17,10.215.173.1,24330,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700577144789,1700577144793
6,10.215.173.1,49468,142.251.12.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1270,1184,7,8,1700577144843,1700577204937
17,10.215.173.1,12631,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700577213286,1700577213306
17,10.215.173.1,21898,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700577213308,1700577213312
6,10.215.173.1,44105,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1448,2578,10,10,1700577213326,1700577315758
17,10.215.173.1,17878,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,196,1,1,1700577242113,1700577242131
17,10.215.173.1,10837,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,340,1,1,1700577242137,1700577242141
6,10.215.173.1,39283,172.217.166.106,443,10037,Google Play Store,HTTPS,Closed,play.googleapis.com,3260,1594,7,7,1700577242154,1700577305729
17,10.215.173.1,1233,10.215.173.2,53,0,Root,DNS,Closed,firebaseinstallations.googleapis.com,82,230,1,1,1700577263510,1700577263527
17,10.215.173.1,25473,10.215.173.2,53,0,Root,DNS,Closed,firebaseinstallations.googleapis.com,82,374,1,1,1700577263529,1700577263532
6,10.215.173.1,47688,142.250.182.138,443,10039,Google,HTTPS,Closed,firebaseinstallations.googleapis.com,1948,6448,8,8,1700577263545,1700577325820
17,10.215.173.1,21429,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700577324444,1700577324461
17,10.215.173.1,12647,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700577324463,1700577324468
6,10.215.173.1,43121,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1309,1184,7,8,1700577324478,1700577385996
17,10.215.173.1,42314,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700577394176,1700577394194
17,10.215.173.1,51832,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700577394198,1700577394203
6,10.215.173.1,49934,172.217.194.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1270,1184,7,8,1700577394214,1700577456362
17,10.215.173.1,51674,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700577462568,1700577462584
17,10.215.173.1,64419,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700577462586,1700577462595
6,10.215.173.1,48211,172.253.118.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1270,1184,7,8,1700577462609,1700577526604
17,10.215.173.1,41408,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700577533992,1700577534010
17,10.215.173.1,51441,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700577534013,1700577534017
6,10.215.173.1,44434,172.253.118.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1270,1184,7,8,1700577534038,1700577596886
