IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,33973,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1701090824021,1701090824160
17,10.215.173.1,55130,10.215.173.2,53,0,Root,DNS,Closed,api.wp.haokan.mobi,64,138,1,1,1701090824030,1701090824072
17,10.215.173.1,47864,10.215.173.2,53,0,Root,DNS,Closed,au.ff.avast.com,61,270,1,1,1701090824039,1701090824092
17,10.215.173.1,42907,10.215.173.2,53,0,Root,DNS,Closed,api.wp.haokan.mobi,64,114,1,1,1701090824074,1701090824087
17,10.215.173.1,49091,10.215.173.2,53,0,Root,DNS,Closed,au.ff.avast.com,61,246,1,1,1701090824094,1701090824102
6,10.215.173.1,41818,104.21.86.95,80,1000,Android,HTTP,Closed,api.wp.haokan.mobi,623,974,5,4,1701090824099,1701090884598
6,10.215.173.1,46644,184.28.173.26,80,1000,Android,HTTP,Closed,au.ff.avast.com,352,799,5,5,1701090824112,1701090824206
17,10.215.173.1,65090,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1701090824161,1701090824164
6,10.215.173.1,38570,74.125.200.188,5228,10011,Google Backup Transport,TLS,Closed,mtalk.google.com,1227,1184,7,8,1701090824191,1701090885099
6,10.215.173.1,48120,142.250.183.106,443,10037,Google Play Store,HTTPS,Closed,play.googleapis.com,2228,1392,7,8,1701090824215,1701090885099
6,10.215.173.1,48261,104.21.86.95,80,1000,Android,HTTP,Closed,api.wp.haokan.mobi,706,954,5,4,1701090824250,1701090884598
6,10.215.173.1,44210,104.21.86.95,80,1000,Android,HTTP,Closed,api.wp.haokan.mobi,1196,4160,5,5,1701090824400,1701090885099
17,10.215.173.1,33829,10.215.173.2,53,0,Root,DNS,Closed,play-fe.googleapis.com,68,106,1,1,1701090824840,1701090824845
6,10.215.173.1,42248,142.250.196.46,443,10037,Google Play Store,HTTPS,Closed,play-fe.googleapis.com,31330,41298,46,57,1701090824849,1701090920450
17,10.215.173.1,54076,10.215.173.2,53,0,Root,DNS,Closed,connectivitycheck.gstatic.com,75,132,1,1,1701090825771,1701090825820
17,10.215.173.1,53420,10.215.173.2,53,0,Root,DNS,Closed,connectivitycheck.gstatic.com,75,120,1,1,1701090825822,1701090825828
6,10.215.173.1,47471,142.250.195.227,443,10037,Google Play Store,HTTPS,Closed,connectivitycheck.gstatic.com,1585,5448,10,11,1701090825837,1701090900227
6,10.215.173.1,41441,142.250.195.227,443,10037,Google Play Store,HTTPS,Closed,connectivitycheck.gstatic.com,1585,5409,10,10,1701090825872,1701090900227
17,10.215.173.1,2316,10.215.173.2,53,0,Root,DNS,Closed,android-safebrowsing.google.com,77,168,1,1,1701090828719,1701090828818
6,10.215.173.1,39307,142.250.195.110,443,10037,Google Play Store,HTTPS,Closed,android-safebrowsing.google.com,9973,9201,12,13,1701090828823,1701090890171
17,10.215.173.1,25810,10.215.173.2,53,0,Root,DNS,Closed,www.gstatic.com,61,92,1,1,1701090829140,1701090829146
6,10.215.173.1,45804,142.250.183.227,443,10037,Google Play Store,HTTPS,Closed,www.gstatic.com,10037,2125943,227,523,1701090829151,1701090890171
17,10.215.173.1,18182,10.215.173.2,53,0,Root,DNS,Closed,www.googleapis.com,64,338,1,1,1701090831088,1701090831105
17,10.215.173.1,46171,142.250.182.10,443,10011,Google Backup Transport,QUIC,Closed,www.googleapis.com,6506,100146,51,85,1701090831117,1701090831397
6,10.215.173.1,48788,142.250.182.10,443,10011,Google Backup Transport,HTTPS,Closed,www.googleapis.com,851,6060,6,6,1701090831175,1701090895215
17,10.215.173.1,15169,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,340,1,1,1701090837126,1701090837143
17,10.215.173.1,45105,142.250.182.10,443,10037,Google Play Store,QUIC,Closed,play.googleapis.com,5796,10686,27,25,1701090837154,1701090852097
6,10.215.173.1,48790,142.250.182.10,443,10037,Google Play Store,HTTPS,Closed,play.googleapis.com,873,6063,6,6,1701090837195,1701090900228
17,10.215.173.1,21604,10.215.173.2,53,0,Root,DNS,Closed,rr4---sn-ci5gup-h55k.gvt1.com,75,188,1,1,1701090837396,1701090837502
17,10.215.173.1,42510,116.119.62.79,443,10037,Google Play Store,QUIC,Closed,rr4---sn-ci5gup-h55k.gvt1.com,4622,7966,16,15,1701090837511,1701090852174
17,10.215.173.1,15294,10.215.173.2,53,0,Root,DNS,Closed,rr3---sn-h557sn6l.gvt1.com,72,176,1,1,1701090837664,1701090837808
17,10.215.173.1,39836,172.217.138.168,443,10037,Google Play Store,QUIC,Closed,rr3---sn-h557sn6l.gvt1.com,37961,4073922,502,3195,1701090837825,1701090845808
17,10.215.173.1,39132,172.217.138.168,443,10037,Google Play Store,UDP,Closed,rr3---sn-h557sn6l.gvt1.com,3834,0,3,0,1701090839633,1701090840237
17,10.215.173.1,20227,10.215.173.2,53,0,Root,DNS,Closed,rr4---sn-ci5gup-qxaez.gvt1.com,76,192,1,1,1701090846017,1701090846103
17,10.215.173.1,37980,116.119.97.15,443,10037,Google Play Store,QUIC,Closed,rr4---sn-ci5gup-qxaez.gvt1.com,4421,33049,21,31,1701090846111,1701090846393
17,10.215.173.1,18798,10.215.173.2,53,0,Root,DNS,Closed,rr2---sn-ci5gup-h55d.gvt1.com,75,188,1,1,1701090846537,1701090846688
17,10.215.173.1,46705,116.119.64.141,443,10037,Google Play Store,QUIC,Closed,rr2---sn-ci5gup-h55d.gvt1.com,3902,7184,12,11,1701090846713,1701090847071
17,10.215.173.1,20852,10.215.173.2,53,0,Root,DNS,Closed,rr5---sn-h5576nsz.gvt1.com,72,176,1,1,1701090846969,1701090847060
17,10.215.173.1,39463,172.217.136.74,443,10037,Google Play Store,QUIC,Closed,rr5---sn-h5576nsz.gvt1.com,4423,19849,18,21,1701090847069,1701090847281
17,10.215.173.1,44880,172.217.138.168,443,10037,Google Play Store,QUIC,Closed,rr3---sn-h557sn6l.gvt1.com,8514,0,8,0,1701090852141,1701090856161
17,10.215.173.1,43676,172.217.138.168,443,10037,Google Play Store,QUIC,Closed,rr3---sn-h557sn6l.gvt1.com,6495,0,6,0,1701090856186,1701090860188
6,10.215.173.1,49706,172.217.138.168,443,10037,Google Play Store,HTTPS,Closed,rr3---sn-h557sn6l.gvt1.com,18092,4694335,414,1125,1701090856194,1701090857338
17,10.215.173.1,14961,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,196,1,1,1701090861339,1701090861381
17,10.215.173.1,29545,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,340,1,1,1701090861382,1701090861386
6,10.215.173.1,47782,142.250.182.10,443,10037,Google Play Store,HTTPS,Closed,play.googleapis.com,2986,7747,10,11,1701090861403,1701090925466
17,10.215.173.1,5960,10.215.173.2,53,0,Root,DNS,Closed,beacons3.gvt2.com,63,96,1,1,1701090880534,1701090880652
17,10.215.173.1,2218,10.215.173.2,53,0,Root,DNS,Closed,beacons.gvt2.com,62,142,1,1,1701090880561,1701090880673
6,10.215.173.1,46886,142.250.77.35,443,10037,Google Play Store,HTTPS,Closed,beacons3.gvt2.com,2356,7428,17,19,1701090880657,1701090945499
