IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,43658,10.215.173.2,53,0,Root,DNS,Closed,geller-pa.googleapis.com,70,350,1,1,1701090887818,1701090887832
17,10.215.173.1,43302,10.215.173.2,53,0,Root,DNS,Closed,playatoms-pa.googleapis.com,73,356,1,1,1701090887825,1701090887839
17,10.215.173.1,55886,10.215.173.2,53,0,Root,DNS,Closed,settings.crashlytics.com,70,70,1,1,1701090887831,1701090888304
17,10.215.173.1,60707,10.215.173.2,53,0,Root,DNS,Closed,geller-pa.googleapis.com,70,350,1,1,1701090887846,1701090888306
17,10.215.173.1,56966,10.215.173.2,53,0,Root,DNS,Closed,geller-pa.googleapis.com,70,350,1,1,1701090887873,1701090888315
17,10.215.173.1,52668,10.215.173.2,53,0,Root,DNS,Closed,geller-pa.googleapis.com,70,350,1,1,1701090887941,1701090888317
6,10.215.173.1,35024,3.108.149.177,443,9801,Themes,HTTPS,Closed,api.zhuti.intl.xiaomi.com,1197,6371,9,9,1701090888196,1701090891147
17,10.215.173.1,39718,10.215.173.2,53,0,Root,DNS,Closed,sdkconfig.ad.india.xiaomi.com,75,388,1,1,1701090888204,1701090888318
17,10.215.173.1,34577,10.215.173.2,53,0,Root,DNS,Closed,data.mistat.india.xiaomi.com,74,376,1,1,1701090888218,1701090888320
17,10.215.173.1,35016,10.215.173.2,53,0,Root,DNS,Closed,idmb-app-chat-global-proxy-proto-1114919025.ap-south-1.elb.amazonaws.com,118,318,1,1,1701090888302,1701090888407
17,10.215.173.1,48367,10.215.173.2,53,0,Root,DNS,Closed,settings.crashlytics.com,70,70,1,1,1701090888321,1701090888325
6,10.215.173.1,49969,23.215.215.16,80,10015,MTP Host,HTTP,Closed,data.mistat.india.xiaomi.com,716,562,5,5,1701090888391,1701090888935
17,10.215.173.1,58316,10.215.173.2,53,0,Root,DNS,Closed,sdkconfig.ad.india.xiaomi.com,75,388,1,1,1701090888394,1701090888410
17,10.215.173.1,39234,10.215.173.2,53,0,Root,DNS,Closed,firebaseremoteconfig.googleapis.com,81,372,1,1,1701090888396,1701090888416
6,10.215.173.1,52983,3.108.189.27,443,1000,Android,HTTPS,Closed,sdkconfig.ad.india.xiaomi.com,1207,4752,10,9,1701090888401,1701090954887
6,10.215.173.1,38996,52.66.83.179,5222,10124,Xiaomi service framework,TCP,Closed,idmb-app-chat-global-proxy-proto-1114919025.ap-south-1.elb.amazonaws.com,2645,539,9,9,1701090888478,1701090968534
6,10.215.173.1,52987,3.108.189.27,443,10098,GetApps,HTTPS,Closed,sdkconfig.ad.india.xiaomi.com,1208,4761,10,10,1701090888636,1701090902650
