IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,37573,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1700576347045,1700576347155
17,10.215.173.1,37750,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,340,1,1,1700576347148,1700576347151
17,10.215.173.1,45251,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1700576347156,1700576347170
17,10.215.173.1,37267,142.250.195.74,443,10010,Google Backup Transport,QUIC,Closed,play.googleapis.com,22585,7211,35,23,1700576347168,1700576348967
6,10.215.173.1,60296,64.233.170.188,5228,10010,Google Backup Transport,TLS,Closed,mtalk.google.com,1332,2302,9,10,1700576347192,1700576469537
6,10.215.173.1,41962,142.250.195.74,443,10010,Google Backup Transport,HTTPS,Closed,play.googleapis.com,891,6104,7,7,1700576347211,1700576408128
17,10.215.173.1,1201,10.215.173.2,53,0,Root,DNS,Closed,zbwvxsvwzgqhydv,61,61,1,1,1700576347707,1700576348750
17,10.215.173.1,63996,10.215.173.2,53,0,Root,DNS,Closed,sqyyvtpfe,55,55,1,1,1700576347708,1700576348750
17,10.215.173.1,49760,10.215.173.2,53,0,Root,DNS,Closed,uimovvsoyrcufhu,61,61,1,1,1700576347709,1700576348769
17,10.215.173.1,40683,142.250.195.74,443,10010,Google Backup Transport,QUIC,Closed,play.googleapis.com,14231,5715,29,25,1700576347911,1700576349764
17,10.215.173.1,1200,10.215.173.2,53,0,Root,DNS,Closed,zbwvxsvwzgqhydv,61,61,1,1,1700576348752,1700576349764
17,10.215.173.1,50478,10.215.173.2,53,0,Root,DNS,Closed,sqyyvtpfe,55,55,1,1,1700576348753,1700576349795
17,10.215.173.1,39247,10.215.173.2,53,0,Root,DNS,Closed,uimovvsoyrcufhu,61,61,1,1,1700576348771,1700576349796
17,192.168.137.254,54408,142.250.182.110,443,10017,Google Play Store,UDP,Closed,,3503,12326,13,16,1700576363802,1700576364008
17,10.215.173.1,43912,10.215.173.2,53,0,Root,DNS,Closed,clients3.google.com,65,166,1,1,1700576364365,1700576364381
17,10.215.173.1,61085,10.215.173.2,53,0,Root,DNS,Closed,clients3.google.com,65,154,1,1,1700576364384,1700576364399
6,10.215.173.1,50202,216.58.196.174,443,10074,Hangouts,HTTPS,Closed,clients3.google.com,864,7571,9,9,1700576364414,1700576428668
17,10.215.173.1,53774,10.215.173.2,53,0,Root,DNS,Closed,geomobileservices-pa.googleapis.com,81,228,1,1,1700576375558,1700576376202
17,10.215.173.1,43781,10.215.173.2,53,0,Root,DNS,Closed,geomobileservices-pa.googleapis.com,81,372,1,1,1700576376210,1700576376331
6,10.215.173.1,42761,142.250.195.234,443,10010,Google Backup Transport,TLS,Closed,geomobileservices-pa.googleapis.com,2069,6144,13,14,1700576376365,1700576376695
17,10.215.173.1,37438,10.215.173.2,53,0,Root,DNS,Closed,footprints-pa.googleapis.com,74,214,1,1,1700576385742,1700576385751
17,10.215.173.1,36846,10.215.173.2,53,0,Root,DNS,Closed,footprints-pa.googleapis.com,74,358,1,1,1700576385774,1700576385879
17,10.215.173.1,52591,10.215.173.2,53,0,Root,DNS,Closed,nearbysharing-pa.googleapis.com,77,220,1,1,1700576387180,1700576387205
17,10.215.173.1,56279,10.215.173.2,53,0,Root,DNS,Closed,nearbysharing-pa.googleapis.com,77,364,1,1,1700576387212,1700576387325
