IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,26226,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1701110801952,1701110801967
17,10.215.173.1,6461,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1701110801969,1701110801973
6,10.215.173.1,54478,74.125.200.188,5228,10010,Google Backup Transport,TLS,Closed,mtalk.google.com,1264,1224,8,9,1701110801994,1701110862151
6,10.215.173.1,34930,142.250.196.170,443,10010,Google Backup Transport,HTTPS,Closed,android.googleapis.com,7993,1142,11,11,1701110802642,1701110867158
17,10.215.173.1,32785,10.215.173.2,53,0,Root,DNS,Closed,asia-monitor-stsdk.vivoglobal.com,79,160,1,1,1701110860121,1701110860467
17,10.215.173.1,28476,10.215.173.2,53,0,Root,DNS,Closed,asia-monitor-stsdk.vivoglobal.com,79,210,1,1,1701110860472,1701110860519
6,10.215.173.1,41628,156.59.238.1,443,10139,Push Notification Engine,HTTPS,Closed,asia-monitor-stsdk.vivoglobal.com,1490,3966,10,9,1701110860535,1701110871049
17,10.215.173.1,13309,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1701110873421,1701110873434
17,10.215.173.1,22274,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1701110873437,1701110873476
6,10.215.173.1,40797,74.125.24.188,5228,10010,Google Backup Transport,TLS,Closed,mtalk.google.com,1279,1184,7,8,1701110873485,1701110937601
17,10.215.173.1,36810,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1701110953496,1701110953508
17,10.215.173.1,61189,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1701110953511,1701110953516
6,10.215.173.1,41592,74.125.24.188,5228,10010,Google Backup Transport,TLS,Closed,mtalk.google.com,1279,1144,7,7,1701110953524,1701111017910
17,10.215.173.1,54528,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1701111033562,1701111033575
17,10.215.173.1,46998,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1701111033578,1701111033582
6,10.215.173.1,60823,74.125.24.188,5228,10010,Google Backup Transport,TLS,Closed,mtalk.google.com,1319,1224,8,9,1701111033592,1701111093810
17,10.215.173.1,41959,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1701111113609,1701111113856
17,10.215.173.1,63631,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1701111113858,1701111113863
6,10.215.173.1,59238,74.125.200.188,5228,10010,Google Backup Transport,TLS,Closed,mtalk.google.com,1279,1144,7,7,1701111113874,1701111175087
17,10.215.173.1,19016,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,170,1,1,1701111193684,1701111193986
17,10.215.173.1,32508,10.215.173.2,53,0,Root,DNS,Closed,mtalk.google.com,62,158,1,1,1701111193992,1701111194056
6,10.215.173.1,34804,172.253.118.188,5228,10010,Google Backup Transport,TLS,Closed,mtalk.google.com,1279,1184,7,8,1701111194066,1701111256163
17,10.215.173.1,1663,10.215.173.2,53,0,Root,DNS,Closed,www.googleapis.com,64,194,1,1,1701111232245,1701111232591
17,10.215.173.1,15362,10.215.173.2,53,0,Root,DNS,Closed,www.googleapis.com,64,338,1,1,1701111232595,1701111232646
6,10.215.173.1,34941,142.250.183.10,443,10017,Google Play Store,HTTPS,Closed,www.googleapis.com,3801,400781,49,113,1701111232668,1701111296399
17,10.215.173.1,22256,10.215.173.2,53,0,Root,DNS,Closed,play-fe.googleapis.com,68,106,1,1,1701111235831,1701111236177
17,10.215.173.1,36844,142.250.192.110,443,10017,Google Play Store,QUIC,Closed,play-fe.googleapis.com,37660,68069,93,105,1701111236224,1701111249967
6,10.215.173.1,35636,142.250.192.110,443,10017,Google Play Store,HTTPS,Closed,play-fe.googleapis.com,851,6073,6,6,1701111236226,1701111296399
17,10.215.173.1,26936,10.215.173.2,53,0,Root,DNS,Closed,connectivitycheck.gstatic.com,75,132,1,1,1701111236822,1701111236892
17,10.215.173.1,4928,10.215.173.2,53,0,Root,DNS,Closed,connectivitycheck.gstatic.com,75,120,1,1,1701111236895,1701111236918
6,10.215.173.1,34333,142.250.183.131,443,10017,Google Play Store,HTTPS,Closed,connectivitycheck.gstatic.com,3008,6912,21,21,1701111236925,1701111306629
17,10.215.173.1,32919,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,196,1,1,1701111237767,1701111237823
17,10.215.173.1,13878,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,340,1,1,1701111237827,1701111237832
6,10.215.173.1,58618,216.58.196.170,443,10017,Google Play Store,HTTPS,Closed,play.googleapis.com,2822,7476,9,11,1701111237844,1701111301620
17,10.215.173.1,19440,10.215.173.2,53,0,Root,DNS,Closed,beacons.gcp.gvt2.com,66,172,1,1,1701111239845,1701111239889
6,10.215.173.1,50566,216.58.200.131,443,10017,Google Play Store,HTTPS,Closed,beacons.gcp.gvt2.com,2568,7356,18,17,1701111239893,1701111301620
17,10.215.173.1,53562,216.58.200.131,443,10017,Google Play Store,QUIC,Closed,beacons.gcp.gvt2.com,2930,6371,6,8,1701111240188,1701111240319
17,10.215.173.1,18292,10.215.173.2,53,0,Root,DNS,Closed,android-safebrowsing.google.com,77,168,1,1,1701111241468,1701111241571
6,10.215.173.1,38119,142.250.67.46,443,10017,Google Play Store,HTTPS,Closed,android-safebrowsing.google.com,36051,11263,21,19,1701111241580,1701111301620
17,10.215.173.1,8618,10.215.173.2,53,0,Root,DNS,Closed,www.googleapis.com,64,338,1,1,1701111245012,1701111245026
17,10.215.173.1,52481,142.250.183.10,443,10010,Google Backup Transport,QUIC,Closed,www.googleapis.com,6665,101371,53,86,1701111245037,1701111245540
17,10.215.173.1,37991,142.250.183.10,443,10010,Google Backup Transport,QUIC,Closed,www.googleapis.com,5704,62618,37,56,1701111245040,1701111245537
6,10.215.173.1,45479,142.250.183.10,443,10010,Google Backup Transport,HTTPS,Closed,www.googleapis.com,891,6099,7,7,1701111245075,1701111306630
6,10.215.173.1,45480,142.250.183.10,443,10010,Google Backup Transport,HTTPS,Closed,www.googleapis.com,891,6101,7,7,1701111245077,1701111306630
17,10.215.173.1,30819,10.215.173.2,53,0,Root,DNS,Closed,www.googleapis.com,64,194,1,1,1701111246571,1701111246584
17,10.215.173.1,9364,10.215.173.2,53,0,Root,DNS,Closed,www.googleapis.com,64,338,1,1,1701111246586,1701111246590
6,10.215.173.1,45965,142.250.183.10,443,10010,Google Backup Transport,HTTPS,Closed,www.googleapis.com,13486,6407,11,11,1701111246600,1701111306630
17,10.215.173.1,18613,10.215.173.2,53,0,Root,DNS,Closed,connectivitycheck.gstatic.com,75,132,1,1,1701111249449,1701111249464
17,10.215.173.1,33237,10.215.173.2,53,0,Root,DNS,Closed,connectivitycheck.gstatic.com,75,120,1,1,1701111249466,1701111249473
6,10.215.173.1,60498,142.250.183.131,443,10017,Google Play Store,HTTPS,Closed,connectivitycheck.gstatic.com,1644,5740,13,13,1701111249485,1701111311639
17,10.215.173.1,10686,10.215.173.2,53,0,Root,DNS,Closed,voledevice-pa.googleapis.com,74,214,1,1,1701111249839,1701111249936
17,10.215.173.1,16914,10.215.173.2,53,0,Root,DNS,Closed,voledevice-pa.googleapis.com,74,358,1,1,1701111249939,1701111249988
6,10.215.173.1,38898,142.250.183.170,443,10017,Google Play Store,TLS,Closed,voledevice-pa.googleapis.com,9556,6041,16,16,1701111250024,1701111250750
17,10.215.173.1,20419,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,340,1,1,1701111250971,1701111250996
17,10.215.173.1,46892,216.58.196.170,443,10017,Google Play Store,QUIC,Closed,play.googleapis.com,6265,10653,27,25,1701111251007,1701111252642
6,10.215.173.1,35025,216.58.196.170,443,10017,Google Play Store,HTTPS,Closed,play.googleapis.com,891,6104,7,7,1701111251104,1701111311640
17,10.215.173.1,17365,10.215.173.2,53,0,Root,DNS,Closed,rr3---sn-ci5gup-h55r.gvt1.com,75,188,1,1,1701111251236,1701111251278
17,10.215.173.1,37909,116.119.100.142,443,10017,Google Play Store,QUIC,Closed,rr3---sn-ci5gup-h55r.gvt1.com,3889,7190,12,11,1701111251286,1701111251591
17,10.215.173.1,29270,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,196,1,1,1701111251417,1701111251421
17,10.215.173.1,4455,10.215.173.2,53,0,Root,DNS,Closed,play.googleapis.com,65,340,1,1,1701111251423,1701111251427
6,10.215.173.1,33468,216.58.196.170,443,10017,Google Play Store,HTTPS,Closed,play.googleapis.com,2427,7457,10,10,1701111251437,1701111311640
17,10.215.173.1,28696,10.215.173.2,53,0,Root,DNS,Closed,rr4---sn-h5576nsy.gvt1.com,72,176,1,1,1701111251508,1701111251606
17,10.215.173.1,44541,172.217.141.201,443,10017,Google Play Store,QUIC,Closed,rr4---sn-h5576nsy.gvt1.com,3928,10948,12,14,1701111251620,1701111251742
17,10.215.173.1,4801,10.215.173.2,53,0,Root,DNS,Closed,rr3---sn-ci5gup-h55l.gvt1.com,75,188,1,1,1701111251900,1701111251986
17,10.215.173.1,46155,182.79.221.214,443,10017,Google Play Store,QUIC,Closed,rr3---sn-ci5gup-h55l.gvt1.com,3881,10411,12,14,1701111251995,1701111252132
17,10.215.173.1,12273,10.215.173.2,53,0,Root,DNS,Closed,rr5---sn-ci5gup-h55r.gvt1.com,75,188,1,1,1701111252258,1701111252389
17,10.215.173.1,47411,116.119.100.144,443,10017,Google Play Store,QUIC,Closed,rr5---sn-ci5gup-h55r.gvt1.com,3948,11038,13,15,1701111252396,1701111252524
